STATE/UT,DISTRICT,YEAR,murder,rape,kidnap,theft,other,total_ipc
2,3,2011,118,50,46,637,1518,4154
2,29,2011,152,23,53,939,754,4125
2,154,2011,103,27,59,1697,1262,5818
2,172,2011,81,20,25,448,1181,3140
2,222,2011,83,23,49,2504,2313,6507
2,280,2011,3,0,0,326,104,287
2,281,2011,184,54,82,2641,2426,7848
2,309,2011,118,37,80,6806,1512,11831
2,391,2011,168,56,67,1052,1726,5811
2,405,2011,94,47,41,921,1450,4582
2,442,2011,65,37,36,1134,862,4779
2,447,2011,137,29,47,771,1401,4581
2,473,2011,183,59,42,908,2158,4819
2,493,2011,113,35,26,817,454,3532
2,530,2011,123,35,27,797,1781,5002
2,546,2011,94,46,90,1476,1585,5245
2,550,2011,120,21,38,648,787,3621
2,591,2011,105,19,31,717,808,3678
2,629,2011,230,72,106,3746,2103,9867
2,667,2011,6,0,0,604,68,439
2,719,2011,42,8,12,584,926,2572
2,789,2011,58,25,70,4632,724,6733
2,790,2011,2,1,0,531,25,320
2,795,2011,58,12,12,409,685,3183
2,796,2011,23,13,13,1588,928,3422
2,797,2011,34,8,8,389,880,2178
2,801,2011,163,53,81,1125,2314,6319
2,807,2011,78,61,41,2504,1609,5696
3,142,2011,11,1,3,70,54,163
3,210,2011,3,2,4,61,45,139
3,372,2011,3,2,7,66,28,126
3,373,2011,4,0,2,58,30,103
3,463,2011,17,2,6,90,38,190
3,572,2011,11,9,15,306,129,498
3,683,2011,7,5,11,137,54,243
3,684,2011,1,2,5,23,11,56
3,685,2011,5,4,17,188,89,361
3,725,2011,9,2,6,74,44,148
3,726,2011,4,2,1,62,40,140
3,738,2011,2,1,0,29,19,48
3,755,2011,9,1,6,54,37,127
4,73,2011,64,28,105,512,430,1778
4,114,2011,45,20,36,296,188,810
4,125,2011,0,0,0,2,2,8
4,126,2011,53,45,104,949,1124,3462
4,185,2011,61,48,64,510,273,1454
4,205,2011,15,42,31,196,126,652
4,208,2011,65,43,69,264,204,1505
4,211,2011,116,35,57,793,264,1565
4,241,2011,13,1,3,297,110,343
4,266,2011,28,35,43,306,100,873
4,268,2011,53,30,44,544,363,1166
4,285,2011,83,37,129,1772,1308,4373
4,287,2011,18,24,36,285,197,820
4,365,2011,42,42,37,530,363,1190
4,374,2011,45,21,95,787,612,2011
4,388,2011,68,5,38,204,200,721
4,390,2011,32,33,42,290,97,843
4,425,2011,88,14,41,230,117,776
4,454,2011,27,64,72,561,422,1779
4,505,2011,20,23,39,226,259,731
4,519,2011,18,2,8,82,30,187
4,521,2011,98,51,119,1303,701,3202
4,529,2011,79,30,53,373,433,1194
4,603,2011,11,3,2,61,26,101
4,686,2011,59,47,64,728,546,1643
4,710,2011,87,53,87,908,575,2309
4,754,2011,108,41,62,835,245,1381
5,35,2011,51,93,79,445,944,2069
5,37,2011,38,0,13,76,51,591
5,41,2011,74,16,24,371,867,1690
5,47,2011,46,25,56,246,146,912
5,63,2011,97,34,27,236,758,1386
5,80,2011,129,13,53,673,1515,2628
5,85,2011,86,20,84,655,782,2796
5,87,2011,44,10,43,490,486,1368
5,89,2011,134,35,66,922,1343,2634
5,99,2011,135,22,46,591,1217,2806
5,124,2011,56,8,34,468,800,1674
5,183,2011,57,19,39,308,1715,2572
5,262,2011,207,25,66,1095,862,3182
5,272,2011,111,13,59,460,807,2098
5,342,2011,7,1,4,248,62,225
5,348,2011,70,10,14,216,289,1046
5,352,2011,75,6,35,317,694,1353
5,397,2011,62,51,49,371,904,1811
5,398,2011,7,0,3,473,116,417
5,404,2011,74,5,34,218,353,895
5,420,2011,26,22,23,158,481,897
5,455,2011,66,10,30,196,305,754
5,469,2011,63,11,49,182,550,1062
5,470,2011,40,13,36,299,1503,2897
5,506,2011,125,44,100,726,2243,3881
5,512,2011,51,11,45,400,787,1758
5,515,2011,174,73,113,1329,1867,4212
5,516,2011,13,2,5,649,81,538
5,528,2011,226,40,126,1013,1006,3479
5,539,2011,36,7,29,89,193,570
5,542,2011,82,15,42,200,555,1515
5,579,2011,464,27,197,3976,2825,8583
5,580,2011,24,1,3,1647,174,1127
5,601,2011,114,39,64,651,785,2054
5,638,2011,131,25,72,846,535,2961
5,646,2011,39,12,27,151,244,1066
5,651,2011,127,19,75,649,1261,2853
5,659,2011,137,20,65,681,1087,3442
5,675,2011,29,3,16,205,408,804
5,676,2011,19,11,13,45,305,428
5,700,2011,54,23,34,326,1111,1797
5,703,2011,125,4,51,401,753,1853
5,730,2011,45,30,26,347,1040,1672
5,784,2011,123,20,90,793,1857,4076
7,58,2011,13,17,1,79,40,235
7,107,2011,110,69,20,1968,1617,4353
7,110,2011,9,4,0,21,19,86
7,182,2011,83,19,11,192,259,739
7,198,2011,14,22,4,345,450,996
7,220,2011,76,144,57,2429,3302,6544
7,275,2011,2,0,0,411,77,315
7,324,2011,84,59,6,513,932,1812
7,349,2011,48,29,9,692,471,2059
7,350,2011,43,36,2,213,240,719
7,378,2011,32,42,4,178,347,760
7,401,2011,21,35,1,157,236,685
7,435,2011,34,46,13,839,634,2112
7,436,2011,39,34,7,540,764,1644
7,475,2011,23,43,7,406,416,1185
7,607,2011,50,53,6,571,571,1650
7,613,2011,102,104,38,2757,2518,6786
7,619,2011,36,58,4,766,1601,2650
7,660,2011,106,145,17,1029,1296,3130
12,553,2011,26,4,4,781,404,1271
12,713,2011,15,8,5,755,293,1070
13,7,2011,150,39,143,8063,6129,13496
13,6,2011,27,5,27,597,797,2146
13,9,2011,6,1,2,23,54,147
13,25,2011,41,2,39,550,1080,2191
13,28,2011,28,3,30,1063,1896,3879
