STATE/UT,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,THEFT,OTHER IPC CRIMES,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,2011,118,50,46,637,1518,4154
ANDHRA PRADESH,ANANTAPUR,2011,152,23,53,939,754,4125
ANDHRA PRADESH,CHITTOOR,2011,103,27,59,1697,1262,5818
ANDHRA PRADESH,CUDDAPAH,2011,81,20,25,448,1181,3140
ANDHRA PRADESH,EAST GODAVARI,2011,83,23,49,2504,2313,6507
ANDHRA PRADESH,GUNTAKAL RLY.,2011,3,0,0,326,104,287
ANDHRA PRADESH,GUNTUR,2011,184,54,82,2641,2426,7848
ANDHRA PRADESH,HYDERABAD URBAN,2011,118,37,80,6806,1512,11831
ANDHRA PRADESH,KARIMNAGAR,2011,168,56,67,1052,1726,5811
ANDHRA PRADESH,KHAMMAM,2011,94,47,41,921,1450,4582
ANDHRA PRADESH,KRISHNA,2011,65,37,36,1134,862,4779
ANDHRA PRADESH,KURNOOL,2011,137,29,47,771,1401,4581
ANDHRA PRADESH,MAHABOOBNAGAR,2011,183,59,42,908,2158,4819
ANDHRA PRADESH,MEDAK,2011,113,35,26,817,454,3532
ANDHRA PRADESH,NALGONDA,2011,123,35,27,797,1781,5002
ANDHRA PRADESH,NELLORE,2011,94,46,90,1476,1585,5245
ANDHRA PRADESH,NIZAMABAD,2011,120,21,38,648,787,3621
ANDHRA PRADESH,PRAKASHAM,2011,105,19,31,717,808,3678
ANDHRA PRADESH,RANGA REDDY,2011,230,72,106,3746,2103,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,2011,6,0,0,604,68,439
ANDHRA PRADESH,SRIKAKULAM,2011,42,8,12,584,926,2572
ANDHRA PRADESH,VIJAYAWADA,2011,58,25,70,4632,724,6733
ANDHRA PRADESH,VIJAYAWADA RLY.,2011,2,1,0,531,25,320
ANDHRA PRADESH,VISAKHA,2011,58,12,12,409,685,3183
ANDHRA PRADESH,VISAKHAPATNAM,2011,23,13,13,1588,928,3422
ANDHRA PRADESH,VIZIANAGARAM,2011,34,8,8,389,880,2178
ANDHRA PRADESH,WARANGAL,2011,163,53,81,1125,2314,6319
ANDHRA PRADESH,WEST GODAVARI,2011,78,61,41,2504,1609,5696
ARUNACHAL PRADESH,CHANGLANG,2011,11,1,3,70,54,163
ARUNACHAL PRADESH,DIBANG VALLEY,2011,3,2,4,61,45,139
